timestep,demand_BBEL_FIN,demand_BEEL_FIN,BESOLPV_P,BBSOLPV_P,BBWIND_P,BEWIND_P,BBRORHYD_P
0,673486.5918,584203.1215,58.8936000,69.1092000,61.0362000,66.3426000,162.0000000
1,711811.5184,617447.3493,95.9792000,112.9265000,70.0760000,76.7894000,162.0000000
2,1030961.77,894288.1592,23.0583000,27.5462000,99.8072000,108.2665000,243.0000000
3,1394402.827,1209548.184,1.6765000,2.0158000,169.1575000,188.6264000,405.0000000
4,1027953.036,891678.2899,153.4663000,177.7296000,62.1553000,70.4457000,248.4000000
5,715483.1087,620632.2005,116.1559000,137.3205000,47.9794000,53.1488000,165.6000000
6,1012582.627,878345.5212,31.9965000,38.2996000,65.4014000,72.8149000,248.4000000
7,1046402.877,907682.2531,4.9401000,5.5823000,89.7246000,94.5129000,331.2000000
8,881077.4401,764273.8504,101.1149000,117.7892000,46.8811000,49.1019000,207.0000000
9,536392.6389,465283.5821,78.0354000,91.8564000,34.8807000,38.5517000,124.2000000
10,1040375.16,902453.6249,29.7759000,35.8533000,70.3138000,75.8973000,248.4000000
11,1353040.505,1173669.226,4.2241000,4.6699000,113.2571000,114.0372000,414.0000000
12,546714.6764,474237.237,26.1033000,31.6529000,53.6331000,60.4560000,124.2000000
13,559958.0749,485724.9709,30.4831000,37.6151000,57.6364000,64.3158000,124.2000000
14,732368.0466,635278.7183,2.2775000,2.9079000,90.0443000,100.6811000,165.6000000
15,2162752.18,1876038.202,0.8865000,1.1453000,272.8333000,300.5093000,579.6000000
