timestep,demand_BBEL_FIN,demand_BEEL_FIN,BESOLPV_P,BBSOLPV_P,BBWIND_P,BEWIND_P,BBRORHYD_P
36,1721.931885518010,1493.657029936430,0.1024,0.1324,0.5482,0.6868,0.45
37,1641.159331622530,1423.592415902300,0.0606,0.084,0.5698,0.715,0.45
38,1656.271615899740,1436.701279173200,0.0128,0.0183,0.5728,0.727,0.45
39,1669.646856007170,1448.303376550890,0,0,0.6025,0.7758,0.45
40,1754.067202659210,1521.532198960770,0,0,0.6389,0.8484,0.45
41,1837.792731643340,1594.158315013360,0,0,0.6361,0.8357,0.45
42,1875.312885710920,1626.704458306650,0,0,0.6151,0.8106,0.45
43,1863.153576522350,1616.157097054190,0,0,0.5935,0.7818,0.45
44,1764.663172094960,1530.723470909330,0,0,0.5723,0.7484,0.45
45,1664.956836748710,1444.235108639230,0,0,0.5517,0.7018,0.45
46,1618.925166249150,1404.305812469240,0,0,0.5396,0.6744,0.45
47,1547.532650870550,1342.377734258410,0,0,0.5206,0.6496,0.45
48,1463.980826303410,1269.902294795140,0,0,0.5056,0.6177,0.45
49,1400.231305271930,1214.603986514440,0,0,0.5004,0.6151,0.45
50,1393.804241843680,1209.028952709570,0,0,0.4939,0.599,0.45
51,1386.161247496580,1202.399182779460,0,0,0.4878,0.5841,0.45
52,1378.344548732510,1195.618736260020,0,0,0.4856,0.5707,0.45
53,1338.739941661180,1161.264473894890,0,0,0.4637,0.5277,0.45
54,1278.985622220220,1109.431727168560,0,0,0.4337,0.4687,0.45
55,1346.382936008280,1167.894243825010,0.0072,0.0116,0.4144,0.4353,0.45
56,1450.952995029950,1258.601550596090,0.0705,0.0962,0.4251,0.4477,0.45
57,1560.386777727040,1353.527801868150,0.1575,0.1945,0.4169,0.416,0.45
58,1658.703477737460,1438.810751423690,0.2297,0.2759,0.3917,0.4183,0.45
59,1774.390619445820,1539.161359911300,0.2479,0.2971,0.385,0.4183,0.45
60,1694.139178801280,1469.548775645120,0.2169,0.2594,0.4033,0.463,0.45
61,1607.460674728490,1394.361157574070,0.1369,0.1636,0.4083,0.4774,0.45
62,1604.333995222860,1391.648978966290,0.0316,0.0379,0.3595,0.4083,0.45
63,1651.581596641300,1432.633011261540,0,0,0.3791,0.4437,0.45
64,1749.203478983780,1517.313254459790,0,0,0.4007,0.4933,0.45
65,1836.576800724480,1593.103578888120,0,0,0.401,0.5027,0.45
66,1903.974114512550,1651.566095544570,0,0,0.3802,0.4853,0.45
67,1850.473154082850,1605.157706033780,0,0,0.3629,0.4381,0.45
68,1770.569122272260,1535.846474946240,0,0,0.349,0.4083,0.45
69,1696.223631805030,1471.356894716960,0,0,0.3419,0.3921,0.45
70,1633.168928441470,1416.661292793530,0,0,0.3315,0.3947,0.45
71,1533.288888678240,1330.022253934120,0,0,0.3283,0.3871,0.45
72,1491.773533020130,1294.010549086460,0,0,0.3239,0.3867,0.45
73,1467.802323476960,1273.217179760200,0,0,0.32,0.3761,0.45
74,1437.404050505550,1246.848776629070,0,0,0.3101,0.3533,0.45
75,1420.207313224570,1231.931794286320,0,0,0.3024,0.346,0.45
76,1444.699636018680,1253.177193380540,0,0,0.293,0.2811,0.45
77,1541.800405110240,1337.405406810830,0,0,0.2965,0.283,0.45
78,1760.667970504430,1527.257909354960,0,0,0.2926,0.293,0.45
79,2006.286016113470,1740.314606654470,0.0029,0.0038,0.2849,0.2907,0.45
80,2066.908857639330,1792.900736327410,0.0311,0.0404,0.3004,0.3397,0.45
81,2090.880067182510,1813.694105653670,0.0569,0.078,0.3019,0.4064,0.45
82,2086.190047924060,1809.625837742010,0.0818,0.1046,0.279,0.3509,0.45
83,2119.715000401100,1838.706419480910,0.0963,0.1121,0.2496,0.3171,0.45
84,2115.893503227550,1835.391534515850,0.0765,0.0908,0.2211,0.2736,0.45
85,2068.993310643080,1794.708855399250,0.0336,0.046,0.1874,0.2154,0.45
